,year,month,week,Date,D,F,T,P,I
144,2021,May,21,5/24/2021,1553460,9887975.06,485000,4834128.46,427300
145,2021,May,21,5/25/2021,2419608.65,6767677.15,503331.26,7209272.4,900200
146,2021,May,21,5/26/2021,3574581.68,12852497.03,928000,1992993.68,291000
147,2021,May,21,5/27/2021,5861391.92,8183923.94,1431200,3106170.78,579139.21
148,2021,May,22,5/28/2021,12080311.91,10366467.16,2948229.42,8907852.32,1094130
149,2021,May,22,5/29/2021,2575000,3977079.93,679000,NA,238060.07
150,2021,May,22,5/30/2021,2162584.81,2369018.2,1.00E+05,NA,2000
151,2021,May,22,5/31/2021,7239243,16712895.98,3079600,26877873.46,1052033.78
152,2021,Jun,22,6/1/2021,6192968.58,10036413.56,745200,637062.33,772431.33
153,2021,Jun,22,6/2/2021,3047955.55,4788136.92,650000,1204822.35,1085839.4
154,2021,Jun,22,6/3/2021,2752781,8641814.45,402500,1124441.11,506450
155,2021,Jun,23,6/4/2021,2403015.6,6922837.16,772171.78,7961970.83,1103600
156,2021,Jun,23,6/5/2021,211000,1842539.2,338000,NA,62000
157,2021,Jun,23,6/6/2021,578000,1593885.79,427500,NA,NA
158,2021,Jun,23,6/7/2021,2999302,4933743.89,597025.65,6356202.34,196200
159,2021,Jun,23,6/8/2021,2816082.85,9405868.28,208000,4967811.08,601948.94
160,2021,Jun,23,6/9/2021,3258361.5,4735246.37,235000,2750133.1,192164.84
161,2021,Jun,23,6/10/2021,1751942,12335490.91,1621133.85,2271438.27,224124.02
162,2021,Jun,24,6/11/2021,3720470,4417104.3,792500,19257542.96,77050
163,2021,Jun,24,6/12/2021,241000,3301627.71,0,NA,60760.46
164,2021,Jun,24,6/13/2021,10000,502910.08,120000,NA,NA
165,2021,Jun,24,6/14/2021,454600,1701899.76,70000,12112022.49,15000
166,2021,Jun,24,6/15/2021,2432652.3,8128257.48,566200,7022484.07,413000
167,2021,Jun,24,6/16/2021,1078433,8562408.17,629900,3079521.14,43000
168,2021,Jun,24,6/17/2021,500765,5562603.98,1690000,3787939.61,225610
169,2021,Jun,25,6/18/2021,3870754.17,11083238.56,852000,9927555.48,70000
170,2021,Jun,25,6/19/2021,1482130,5765768.5,394755.96,NA,27355
171,2021,Jun,25,6/20/2021,420000,2390469.12,2.00E+05,NA,NA
172,2021,Jun,25,6/21/2021,2219529,5222493.26,875882.78,4342479.1,1135000
173,2021,Jun,25,6/22/2021,3053996.04,8805561.4,430400,6968532.86,57497.37
174,2021,Jun,25,6/23/2021,4412368.7,13930628.88,1513000,3309387.46,79212.92
175,2021,Jun,25,6/24/2021,3469858,8246650.62,816800,3995943.95,492999
176,2021,Jun,26,6/25/2021,6385562.39,8758244.22,2272500,5345235.58,1041234
177,2021,Jun,26,6/26/2021,1208809.79,4779089.69,560200,NA,50000
178,2021,Jun,26,6/27/2021,914169.38,2069446.63,99000,NA,20000
179,2021,Jun,26,6/28/2021,7310499.65,11227672.01,1690500,9112680.6,545413.32
180,2021,Jun,26,6/29/2021,7529683.86,9177904.82,1780200,6058353.26,521237.09
181,2021,Jun,26,6/30/2021,12591013.85,18295802.84,2792500,21920851.51,1047158.01
182,2021,Jul,26,7/1/2021,15327817.96,13017204.73,916500,468134.04,991004.36
183,2021,Jul,27,7/2/2021,4324662,5173721.62,298000,2275046.21,584209
184,2021,Jul,27,7/3/2021,503900,2561596.62,20000,NA,110621
185,2021,Jul,27,7/4/2021,222000,1114265.54,131000,NA,15000
186,2021,Jul,27,7/5/2021,4943837,4932514.92,284500,3777141.51,239131
187,2021,Jul,27,7/6/2021,2244286,5371073.08,295000,2410357.13,204261.64
188,2021,Jul,27,7/7/2021,4230900,4294338.7,160537.07,3600755.83,278300
189,2021,Jul,27,7/8/2021,1626557.93,4378885.95,271228.49,1094411.799,193400
190,2021,Jul,28,7/9/2021,3146924.07,6536552.19,220000,7853310.58,1147822.93
191,2021,Jul,28,7/10/2021,1219083,1983777.49,364500,NA,530000
192,2021,Jul,28,7/11/2021,252500,778776.87,120000,NA,NA
193,2021,Jul,28,7/12/2021,2769607.32,4700879.38,730000,5597243.99,794756
194,2021,Jul,28,7/13/2021,3933900,5138170.36,685000,12937076.49,323555.55
195,2021,Jul,28,7/14/2021,6912590,5389636.88,47000,5494430.51,268000
196,2021,Jul,28,7/15/2021,2320816.14,8278669.75,145000,3355319.56,366229.9
197,2021,Jul,29,7/16/2021,3888986,6919102.46,1058500,11842836.33,419800
198,2021,Jul,29,7/17/2021,775000,3569200.13,435536,NA,222000
199,2021,Jul,29,7/18/2021,75000,1435580.2,5000,NA,20000
200,2021,Jul,29,7/19/2021,3131787.34,4587132.43,911280,11381056.25,206000
201,2021,Jul,29,7/20/2021,424664.81,1758503.7,820000,4469475.48,76700
202,2021,Jul,29,7/21/2021,390300,1244934.15,1.00E+05,3620742.97,220000
203,2021,Jul,29,7/22/2021,3392524.15,4440801.21,420000,2706036.86,171980
204,2021,Jul,30,7/23/2021,2967564,6459120.72,934500,3880964.47,1344706.74
205,2021,Jul,30,7/24/2021,740000,3142661.87,50000,NA,61900
206,2021,Jul,30,7/25/2021,807513,1354421.03,NA,NA,40000
207,2021,Jul,30,7/26/2021,4431193.23,6489689.57,1868000,6102381.69,1005763.55
208,2021,Jul,30,7/27/2021,5116903,5874741.75,1100000,6172892.88,667481
209,2021,Jul,30,7/28/2021,5200126,7877956.47,773000,4769567.85,937362
210,2021,Jul,30,7/29/2021,6313965.45,7056485.91,3075000,5672115.85,890255
211,2021,Jul,31,7/30/2021,12221399.35,19863708.58,1497300,27827552.96,1013030
212,2021,Jul,31,7/31/2021,3161784,6622815.14,1324882.78,NA,754602.09
213,2021,Aug,31,8/1/2021,3663931,5798344.55,184796.32,NA,437200
214,2021,Aug,31,8/2/2021,4400445,6957875.23,142398.16,1264138.57,326120.69
215,2021,Aug,31,8/3/2021,3387160.55,4356028.24,578950.16,2791967.95,246364.88
216,2021,Aug,31,8/4/2021,5056307,7776670.84,367000,2643160.72,260500
217,2021,Aug,31,8/5/2021,3184734.06,5099722.71,2119322.72,3206159.72,703197.11
218,2021,Aug,32,8/6/2021,3123213.69,8275643.2,620300,6794775.315,814345
219,2021,Aug,32,8/7/2021,842450,1956022.32,30000,NA,5000
220,2021,Aug,32,8/8/2021,241084.62,1151256.14,120000,NA,NA
221,2021,Aug,32,8/9/2021,4440812,6595363.57,462250,3806509.3,256050
222,2021,Aug,32,8/10/2021,2750444.71,6141004.27,318900,8379643.2,15500
223,2021,Aug,32,8/11/2021,3672688.7,6140008.55,304899.92,3960006.84,369043.32
224,2021,Aug,32,8/12/2021,2966397.78,8897960.97,901000,3552374.2,592590
225,2021,Aug,33,8/13/2021,1564359.25,6537741.1,1792650.37,21603692.19,415755.51
226,2021,Aug,33,8/14/2021,163630,3586368.17,427500,NA,172283
227,2021,Aug,33,8/15/2021,144000,1072180.11,NA,NA,28500
228,2021,Aug,33,8/16/2021,2507044,5757751.89,720000,9241278.39,166670
229,2021,Aug,33,8/17/2021,2767220,5027932.22,1827000,10427626.43,614504
230,2021,Aug,33,8/18/2021,2082519.85,8322759.61,111500,5053298.28,286520
231,2021,Aug,33,8/19/2021,2771494.66,4411869.36,580000,1897847.18,699125
232,2021,Aug,34,8/20/2021,6694375.8,6786824.6,673000,9058334.99,145120
233,2021,Aug,34,8/21/2021,204000,3914285.35,50000,NA,130000
234,2021,Aug,34,8/22/2021,271608.11,1993587.83,NA,NA,60000
235,2021,Aug,34,8/23/2021,3600561.88,6725954.48,387000,2708275.14,238642.14
236,2021,Aug,34,8/24/2021,1993292,9125011.47,769000,5723187.85,205018.58
237,2021,Aug,34,8/25/2021,2889000,7053312.58,950000,6541322.55,331466
238,2021,Aug,34,8/26/2021,4484677.03,6487458.96,478540,4886635.028,665844.74
239,2021,Aug,35,8/27/2021,4837991.46,12898557.24,730696,11016245.59,454600
240,2021,Aug,35,8/28/2021,1738462,3267777.16,305000,NA,398888.65
241,2021,Aug,35,8/29/2021,567999.98,1854773.02,205000,NA,60000
242,2021,Aug,35,8/30/2021,9837343.61,11311682.76,2598232,18973905.1,887246.09
243,2021,Aug,35,8/31/2021,14294396.99,15464561.82,2783004.5,17776010.43,1868424
244,2021,Sep,35,9/1/2021,9948874.42,8671980.08,1564733.85,601753.02,1588000
245,2021,Sep,35,9/2/2021,3373305,3645120.5,344400,1528413.03,323977.91
246,2021,Sep,36,9/3/2021,2747759.11,7053265.06,528200,6442367.17,440605.38
247,2021,Sep,36,9/4/2021,214200,2880805.83,80000,NA,42000
248,2021,Sep,36,9/5/2021,11166,2116128.32,50000,NA,20300
249,2021,Sep,36,9/6/2021,2272342.81,4522806.28,525000,4302199.6,185400
250,2021,Sep,36,9/7/2021,2775508.41,5380724.77,326000,2693945.44,208917.59
251,2021,Sep,36,9/8/2021,1885311.02,3938240.64,1620000,2055574.86,341699.99
252,2021,Sep,36,9/9/2021,1479713,4081359.93,450000,1572980.76,134300
253,2021,Sep,37,9/10/2021,4265354.2,6059508.45,1039200,18310580.97,106925.43
254,2021,Sep,37,9/11/2021,279000,3537899.14,120000,NA,70000
255,2021,Sep,37,9/12/2021,103000,947868.27,10000,NA,1.00E+05
256,2021,Sep,37,9/13/2021,1447450,3794373.83,477000,15406871.64,35000
257,2021,Sep,37,9/14/2021,3728000,6119774.12,382400,13036549.03,404700
